original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
Hammamet,"Biography, Drama",126,Italy,Italian,Gianni Amelio,Pepito Produzioni,"The last year of Bettino Craxi's life, one of the most important and controversial Italian leaders of the 1980s.",5.5,1035,6,9
Bratstvo,"Action, Drama, War",113,Russia,Russian,Pavel Lungin,Pavel Lungin Studio,1988-1989. The end of the Soviet-Afghan war. The USSR begins its withdrawal from Afghanistan. Soviet General Vasiliev's son - a pilot named Alexander gets kidnapped by the mujahideen after ...,5.7,793,5,5
Lake Artifact,"Comedy, Horror, Sci-Fi",96,USA,English,Bruce Wemple,377 Films,"Five friends go on a weekend getaway to a cabin in Upstate New York, where time and space begins to function without reason, only to slowly turn them against each other one by one.",3.9,253,14,4
Das Vorspiel,Drama,90,"Germany, France","German, French",Ina Weisse,Idéale Audience,"Anna Bronsky is a violin teacher at the Conservatoire. Against the advice of her colleagues, she imposes the admission of a pupil, in whom she sees a great talent. With a lot of involvement...",6.5,344,1,43
An Affair to Die For,"Horror, Thriller",82,"Spain, Italy",English,Víctor García,Illogic Srl,"A secret rendezvous. A man cheats on his wife. A woman cheats on her husband. And then everything goes bad, quickly.",4.7,1517,46,8
Anandi Gopal,Biography,134,India,Marathi,Sameer Vidwans,Namah Pictures,Biopic of one of the earliest Indian female physicians Anandibai Gopalrao Joshi.,8.9,345,10,
Bulbul,Drama,116,Nepal,Nepali,Binod Paudel,Awaken Films,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.,5.7,119,6,
Last Christmas,"Comedy, Drama, Romance",103,"UK, USA","English, Serbo-Croatian, Mandarin, French",Paul Feig,Calamity Films,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",6.5,38133,612,168
Spenser Confidential,"Action, Comedy, Crime",111,USA,English,Peter Berg,Film 44,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals.",6.2,61330,541,103
Drive Me to the End,Drama,81,UK,English,Richard Summers-Calvert,Crucible Films,"'Drive Me to the End' centers around Ryan (Richard Summers-Calvert) and Sunny (Kate Lister), estranged family members who find themselves car-sharing to a funeral in Scotland. With both ...",5.6,178,22,8
Hebe: A Estrela do Brasil,"Biography, Drama",112,Brazil,Portuguese,Maurício Farias,Loma Filmes,"A recollection of Hebe Camargo's life during the '80s, a time when she struggled between a personal and professional crisis and decided to take control of her own career.",6.6,397,,3
Lazy Susan,Comedy,90,USA,English,Nick Peet,Stargazer Films USA,"A slice-of-life comedy about a woman on the edge with nowhere to go but over, Lazy Susan is a story about a spectacularly unmotivated woman for whom doing nothing is exhausting.",5.2,392,14,9
Bannister DollHouse,"Drama, Horror",79,UK,English,Mj Dixon,Mycho Entertainment Group,A chilling tale of a family at odds against a sinister evil that they don't understand. The Origin of Molly Bannister is here and its more terrifying than you could have imagined.,3.5,279,11,7
Making Time,"Adventure, Romance",107,USA,English,Grant Pichla,,"After traveling back in time, a divorced workaholic must repeat his past footsteps in order to return to an unaltered present, but struggles when it means re-proposing to his ex-wife.",5.8,108,23,2
The Farewell,"Comedy, Drama",100,"USA, China","Mandarin, English, Japanese, Italian",Lulu Wang,Big Beach Films,"A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.",7.6,44745,288,236
The Climb,"Comedy, Drama",94,USA,English,Michael Angelo Covino,Topic Studios,A look at the friendship between two guys that spans over many years.,7,567,2,39
June,"Drama, Musical, Romance",141,India,Malayalam,Ahammed Khabeer,Friday Film House,"The life story of a girl named June from 16 years of her age until she turned 26, thereby giving an insight into those ten years of her life.",7.3,1161,26,4
Handy Dandy,Horror,84,USA,English,Jeff Broadstreet,MJE Handy Dandy Productions,"A shuttered TV studio in Detroit is haunted by a magician/ventriloquist from a 1960's children's show, and he's looking for a new live (or DEAD) studio audience.",2.9,101,10,10
Club der roten Bänder - Wie alles begann,Drama,115,Germany,German,Felix Binder,Bantry Bay Productions,"In this prequel to the TV series, the individual fates of the members of the later ""Red Bracelets"" and how they came together are told.",6.5,128,,11
Buffaloed,"Comedy, Drama",95,USA,English,Tanya Wexler,Lost City,"Set in the underworld of debt-collecting and follows the homegrown hustler Peg Dahl, who will do anything to escape Buffalo, NY.",6.2,2561,48,32
Vai,Drama,90,New Zealand,"English, Samoan, Maori, Tonga","Becs Arahanga, Amberley Jo Aumua",Brown Sugar Apple Grunt Productions,"A portmanteau feature film by 9 female Pacific filmmakers and filmed on seven Pacific islands. It is about the journey of empowerment through culture over the lifetime of one woman, Vai.",7,125,2,9
