original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
D.N.A.: Decisamente non adatti,Comedy,84,Italy,Italian,"Claudio Gregori, Pasquale Petrolo",Lucky Red,DNA Wholly Unsuited is the result when two primary school friends who meet again as adults decide to improve their lives by swapping genetic codes.,5.2,207,2,2
Malasaña 32,Horror,104,Spain,Spanish,Albert Pintó,4 Cats Pictures,A family moving to a new house to live the dream of the big city. A house where dreams turn in nightmares.,5.4,1178,9,13
Rising Free,"Drama, History",102,USA,English,Christian Johannesson,LightFall Motion Picture Group,"In late nineteenth-century America, Rising Free portrays the story of a young woman living in the aftermath of racial prejudice. Surrounded by danger of being sold and further stripped of ...",6.3,566,22,
Action,"Action, Adventure",158,India,Tamil,Sundar C.,Trident Arts,"An agent, sent by the Indian army to observe a terrorist, finds his mission complicated when he discovers undercover agents in his own country.",4.4,521,20,3
Our Scripted Life,Comedy,88,USA,English,David Towner,Splash Film Productions,"A daytime television actor hatches a plan to produce a film starring him and his co-star, hoping it will make her fall in love with him.",7.8,252,52,
Banlieusards,Crime,96,France,French,"Kery James, Leïla Sy",,Three brothers try to survive on the streets of a tough French suburb.,6.4,1088,9,3
Mamá se fue de viaje,Comedy,90,Mexico,Spanish,Fernando Sariñana,Alebrije Cine y Video,What happens when mom is out of the picture? Experience the trouble of a working dad handling four kids while their mother is off on vacation.,4.4,115,1,1
Goyenda Junior,Drama,117,India,Bengali,Mainak Bhaumik,SVF Entertainment,"An odd twist of events leads a teenager Bikram, on a quest to solve the perfect crime: a murder cleverly disguised as a natural death.",6,148,2,
Thappad,Drama,142,India,Hindi,Anubhav Sinha,Benaras Mediaworks,Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?,6.9,12934,859,25
Shakuntala Devi,Drama,127,India,Hindi,Anu Menon,Abundantia Entertainment,"The extraordinary story of Shakuntala Devi, the world-renowned mathematician who lived her life on her own terms. While the film pays tribute to her genius as a mathematician, it also ...",6.2,6599,411,29
Lucky,Comedy,90,France,French,Olivier Van Hoofstadt,Tchin Tchin Productions,Willy and Tony have a brilliant idea for getting out of it financially: stealing a dog from the brigade des stups. But everything does not go as planned and the two accomplices will have to rely on the most corrupt of the cops.,4.4,172,,2
Dagaalty,"Action, Comedy, Drama",121,India,Tamil,Vijay Anand,18 Reels,A conman tries to save an innocent girl from the clutches of a womanizer after realizing that he had fallen in love with her.,3.8,147,5,3
Venpa,Romance,146,Malaysia,Tamil,K. Kavi Nanthan,Vadai Productions,"Sheila falls for Thenavan but he is in love with Kalyani, a one-hour conversation later ends up as a turning point for them as well as Kalyani's ex.",8.1,143,8,1
Dirty Sexy Saint,"Drama, Romance",104,USA,English,Tosca Musk,,"Of all the bars in all of Chicago, she walks into his.",5.6,605,25,
Raju Gari Gadhi 3,"Comedy, Horror, Thriller",122,India,Telugu,Omkar,Oak Entertainments,"An unknown spirit guards Maya against any possible threats from eve-teasers and Don Juans. But what happens when true love flourishes between Maya and Ashwin Babu, and the spirit isn't all too happy about it?",6.6,357,4,
Suk Suk,Drama,92,Hong Kong,Cantonese,Ray Yeung,New Voice Film Productions,"SUK SUK is a quiet portrayal of a gay relationship between two men in their twilight years. PAK, 70, a married taxi driver who refuses to retire meets HOI 65, a retired single father. ...",7.1,307,2,22
A Merry Holiday,"Drama, Romance",85,Canada,"English, Hebrew",Max McGuire,Neshama Entertainment,"When a toy company executive must learn about Hanukkah to land a big account, she enlists the help of her co-worker's friend, who also happens to be in need of turning his pad into a Christmas Wonderland to impress his girlfriend's father.",6.6,336,13,1
Sufiyum Sujatayum,"Drama, Musical, Romance",122,India,Malayalam,Naranipuzha Shanavas,Friday Film House,"Sujata (mute) is in love with her neighbour, a sufi priest but her father gets her married off to a well-do-to NRI, in Dubai. Ten years have passed since and she thinks that she's left that...",5.4,948,97,9
Sora no aosa o shiru hito yo,"Animation, Drama, Family",106,Japan,Japanese,Tatsuyuki Nagai,CloverWorks,Second-year high school student Aoi Aioi is an aspiring musician Aoi Aioi. Her older sister Akane's ex-boyfriend Shinnosuke Kanomura is a struggling guitarist. Aoi and Akane's parents ...,6.7,268,5,5
Shapludu,Thriller,139,Bangladesh,Bengali,Golam Sohrab Dodul,Bengal Multimedia,"Irfan has been the moral political guardian to Arman the way Ahsan has been to him. Then why does a series of unfortunate events- female trafficking, drug smuggling, disappearing of a ...",7.8,231,14,
Alelí,"Comedy, Drama",88,"Uruguay, Argentina",Spanish,Leticia Jorge,Mutante Cine,The death of their father causes three dysfunctional siblings to fight over their beloved childhood home.,6.4,235,3,1
Crypsis,Horror,81,USA,English,Paul Anthony Rogers,,"A group of friends make a bet to see who can survive camping on an island for a night. Unbeknownst to them, a strange creature lurks throughout the night terrorizing their every move, and sound is their biggest enemy.",2.5,177,13,9
Petromax,"Comedy, Horror",128,India,Tamil,Rohin Venkatesan,Eagle's Eye Production,A man struggles to sell his house that is haunted so he arranges four people to live in the house for a few days to prove that there are no ghosts.,5.5,254,12,3
Devushki byvayut raznye,Comedy,90,Russia,Russian,Sarik Andreasyan,Fetisoff Illusion,"Three friends who decided to ride a surf in Mexico. Everything is as it should be: the ocean, girls and golden sand. History does not portend surprises. But not for our heroes, who first of...",2.3,113,1,
World Famous Lover,Romance,154,India,Telugu,Kranthi Madhav,Creative Commercials,"An amalgamation of four different love stories: Seenayya and Suvarna, a middle-class couple in a small town; Gautham, a youngster romancing in Paris with Iza, Union Leader Srinu in love with his boss lady, and a first college romance.",4.6,1433,79,4
Miami Bici,"Comedy, Crime",98,Romania,"Romanian, English, Spanish, French",Jesús del Cerro,Studio Indie Productions,"Miami Bici is the story of Ion and Ilie, two young people from a small dark city in Romania who go to Miami in the middle of winter, to live both the ""American Dream"" and the Romanian dream of ""getting rich quick"".",6.4,4720,123,
Lies For Rent,Thriller,86,USA,English,Monika Lynn Wesley,Headlong Entertainment,"Diane is not ready to date but also does not want to attend a work event alone. Her sister suggests a rent-a-date where she can hire a fake boyfriend. Soon, it becomes evident that she has rented a liar with a disturbing past.",4.2,111,8,3
The Binge,Comedy,98,USA,English,Jeremy Garelick,American High,"Set in a time where all drugs and alcohol are illegal, the only day anyone can participate in the ""fun"" is on Binge day.",4.9,1118,41,11
Entha Manchivaadavuraa,"Action, Drama",152,India,Telugu,Satish Vegesna,Aditya Music,"Balu loses both of his parents in his childhood and he grows up as an orphan. Because of this, he starts an organization named ""All Is Well"" to supply emotions to the needy.",5.6,226,5,1
Irandam Ulagaporin Kadaisi Gundu,Drama,141,India,Tamil,Athiyan Athirai,Neelam Productions,A lorry driver ends up in possession of an unexploded bomb that is being sought after by both the cops and pro-peace activists.,7.3,713,17,3
Boy Meets Gun,"Comedy, Crime, Drama",86,Netherlands,"Dutch, English",Joost van Hezik,Pupkin Film,"When the bored out evolutionary philosopher Maarten Moreau gets caught up in a robbery, he accidentally gets hold of the murder weapon. Seized by a renewed appetite for life, Maarten ...",6.7,114,1,1
Seriously Single,"Comedy, Romance",107,South Africa,English,"Katleho Ramaphakela, Rethabile Ramaphakela",Burnt Onion Productions,Dineo is the definition of serial monogamist. She dates to fall in love; she falls in love to get married. But she never gets married. She always ends up being dumped. When she meets Lunga ...,4.2,798,40,17
Jesus,Drama,130,,,,,"Witness the most miraculous events in history as Jesus sets sail with fishermen, challenges the Pharisees, befriends the outcasts, and heals the hurting. The lives he touches will never be the same.",3.4,230,22,
Docteur?,Comedy,90,France,French,Tristan Séguéla,Unité de Production,"On Christmas eve, Serge is the only on-call emergency doctor available. Struck by a crippling back-ache, he gets help from a pizza delivery boy who will need to step in the doctor's shoes.",6.5,698,,8
"Paw Patrol: Ready, Race, Rescue!","Animation, Family",66,"Canada, USA",English,"Charles E. Bastien, Keith Chapman",Guru,"The pups have built an awesome race track and are ready to be the pit crew for their race hero. But when the legendary racer is unable to drive, he calls on his biggest fan-pup Marshall to take the wheel and race in his place.",4.7,126,4,2
Filles de joie,Drama,91,"Belgium, France",French,"Frédéric Fonteyne, Anne Paulicevich",Versus Production,"Everyday, three sex workers cross the border from France into Belgium to practice their trade. At the end of one particularly hot summer, all three share a secret that will bind them together forever.",6.3,164,,11
Vanamehe film,"Animation, Comedy",88,Estonia,Estonian,"Oskar Lehemaa, Mikk Mägi",Apollo Film Productions,"This is an inter-generational epic road movie that should wipe the dust from ancient folk wisdom that milk, it's a big responsibility.",5.8,286,2,9
Peopekteu maen,"Comedy, Drama",116,,,Yong Soo,,It's a comical story about a businessman and a street thug. They are on the mission to complete a government infrastructure project within 200 days. They use all the available tactics like ...,6.1,107,1,
Yangjamoolrihak,"Action, Comedy, Crime",120,South Korea,Korean,Seong-Tae Lee,MCMC,The story is about a bar owner that fights with an organized crime.,6,111,2,
Tenali Ramakrishna BA.BL,"Action, Comedy, Drama",128,India,Telugu,G. Nageswara Reddy,SNS Creations,Tenali Ramakrishna (Sundeep Kishan) is a small-time lawyer who makes his living via compromises between warring parties. He is looking for a big case that could turn his life.,5,124,,
Savaari,Romance,153,India,Telugu,Saahith Mothkuri,Kaalva Narasimha Swamy Productions,"Raju who rents his Badshah for weddings, meets Baagi who has been in quench of real love after her step-parents try to get her married against her wish. How did she escape that marriage is the crux of the story.",5.8,106,6,1
Johaar,Drama,122,India,Telugu,Teja Marni,Dharma Surya Pictures,"A gripping tale around the lives of five people grappling for their dreams when a young politician, suddenly in the hot seat of power, makes the life-altering decision of setting his father's legacy to stone by hook or by crook.",7.5,199,7,1
Pig Gene,"Comedy, Drama",103,Iran,Persian,Saeed Soheili,,Reza and Emad are escaping from the prison for a purpose they have. But before achieving that they have to face many challenges.,4.4,228,,8
Texas 2,Comedy,99,Iran,"Persian, English, Portuguese",Masoud Atyabi,,Sasan and Bahram are back to Iran and Alice is with them too. Babak's father and Sasan's mother come to airport to take them home but they don't know that they are married. Meanwhile Bahram...,4.1,322,,5
Hacked,Thriller,118,India,Hindi,Vikram Bhatt,Loneranger Productions,The deep dark side of the digital and the social media world.,4.2,828,54,4
Inside the Rain,"Comedy, Drama, Romance",90,USA,English,Aaron Fisher,Act 13,"Facing expulsion from college over a misunderstanding, a bipolar student indulges his misery at a strip club where he befriends a gorgeous, intelligent, outrageous woman and they hatch a madcap scheme to prove his innocence.",4.5,153,2,23
Shah Kosh,"Crime, Mystery, Thriller",81,Iran,Persian,Vahid Amirkhani,Namayesh Gostaran,In a hotel in the middle of snow and blizzard a murder happens. Meanwhile all the residents of the hotel are accused of murder and have to prove that they are innocent.,3.4,142,,12
Malibu Rescue: The Next Wave,"Action, Adventure, Comedy",68,USA,English,Savage Steve Holland,Pacific Bay Entertainment,"It's summer again, and everyone's favorite Junior Rescuers, The Flounders, are back at Tower 2. With the International Junior Rescue Championships headed to Southern California, the eyes of...",4.5,386,5,5
Gajang Botongui Yeonae,"Comedy, Drama, Romance",115,South Korea,Korean,Kim Han-Kyul,Zip Cinema,"A love story between Jae Hoon, who couldn't let go of his ex-girlfriend, and Sun Young, who is splitting up with her boyfriend. The couple got trouble and were hurt by love.",6.1,283,4,3
Sestra,Drama,97,"Bulgaria, Qatar",Bulgarian,Svetla Tsotsorkova,Doha Film Institute,"In a small town in Bulgaria, a mother and her two daughters are struggling to survive. The younger daughter often invents stories to make life more interesting. Unwittingly, she eventually gets caught in a web of her own lies.",7.4,188,,6
Oka Chinna Viramam,Thriller,95,India,Telugu,Sundeep Cheguri,Moonwalk Entertainments,"Deepak is a businessman immensely in love with his pregnant wife Sameera . But when his idea of raising profits for his business puts her in trouble, he teams up with Balu (Naveen Neni) and Maya to save her.",7.3,248,3,1
Pats Sau Milijonierius,Comedy,90,Lithuania,Lithuanian,Tadas Vidmantas,,Fake life bursts like a bubble when Donatas receives a phone call from his rich and powerful father.,6.4,494,3,
Gantumoote,Drama,115,India,Kannada,Roopa Rao,Ameyukti Studios,"A 16-year-old girl embarks on a journey of life where she deals with understanding herself, the changing world, bullying, academic pressure and her transcending journey of first love.",8.2,511,36,3
Ujda Chaman,Comedy,120,India,Hindi,"Abhishek Pathak, Danish Singh",Panorama Studios,Chaman Kohli is 30 -year-old bachelor with Premature Balding and in quest of a beautiful wife. Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever.,6.9,4567,259,15
A Day & A Night,Drama,98,Egypt,Arabic,Ayman Makram,,"The film revolves around an officer who undertakes research on social issues, especially living in poor neighborhoods at the heart of cairo.",5.6,140,2,
Kim Ji-young: Born 1982,Drama,118,South Korea,Korean,Kim Do-Young,,"Kim Ji-young, an ordinary woman in her 30s, suddenly shows signs of being inhabited by others such as her late mother and older sister, and the stories of the people connected to her.",7.4,1806,12,7
Yummy,"Action, Comedy, Horror",88,Belgium,"Dutch, English",Lars Damoiseaux,10.80 Films,"An orgy of blood, violence and fun in which a young couple travel to a shabby Eastern European hospital for plastic surgery. Once there things unravel.",6,1664,38,49
Rev,"Action, Drama",91,Canada,English,Ant Horasanli,N5 Pictures,A young thief with a history of grand theft auto becomes an informant and helps police bring down a criminal enterprise involved in the smuggling of hundreds of exotic super cars.,4.8,344,16,3
Fatal Affair,"Drama, Thriller",89,USA,English,Peter Sullivan,Hybrid,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.",4.4,3836,176,45
A Daughter's Plan To Kill,Thriller,90,USA,English,Ian Niles,,"When Katie and Greg Carlyle invited Greg's estranged daughter to live with them, they had no idea that they would be inviting jealousy, violence, and deceit into their home to wreak havoc on their perfect life.",4.7,130,7,3
Maniyarayile Ashokan,"Comedy, Romance",110,India,Malayalam,Shamzu Zayba,Wayfarer Films,"When his unlucky horoscope doesn't bode well for his future wife, an earnest bachelor goes to surprising lengths to get the family he's always wanted.",4.6,518,34,5
Slayer: The Repentless Killogy,Music,131,,,"BJ McDonnell, Wayne Isham",,"'Slayer: The Repentless Killogy' is a short narrative film written and directed by BJ McDonnell, that blends the music of Slayer with an uncompromising and unmissable, trilogy of music videos assembled as one chronological story-line.",6.9,243,22,1
Puppy,Drama,109,India,Tamil,Nattu Dev,Vels Film International,A final year college student gets the shock of his life after knowing that he's gonna become a father as his girlfriend shows positive pregnancy test result. How is he going to face his parents?,5,130,7,2
Upstarts,Drama,112,India,Hindi,Udai Singh Pawar,Bandra West Pictures,"Hoping to do good while making millions, three graduates create a startup. But as business begins to flourish, their own bond starts to fray.",6.6,591,22,6
My Prince Edward,Drama,92,Hong Kong,Cantonese,Norris Wong,Film Development Fund of Hong Kong,A story on a woman struggling on whether to enter into a marriage or not.,6.9,181,1,8
"The Gangs, the Oscars, and the Walking Dead",Comedy,105,Taiwan,"Mandarin, Min Nan",Pin-Chuan Kao,Loulou Film,"Producer BS and his long time director friend Wenxi have always dreamy to make it big in movie industry. The duo has been working together for more than a decade, but nothing's ever ...",6.8,156,2,5
Fan zui xian chang,"Crime, Mystery, Thriller",104,Hong Kong,Cantonese,Chi-Keung Fung,Media Asia Films,A Hong Kong crime thriller about a detective and a parrot.,6,416,3,17
Psycho-Pass: Sinners of the System Case.2 First Guardian,"Animation, Action, Crime",60,Japan,Japanese,Naoyoshi Shiotani,Production I.G.,"2112; the summer before Akane Tsunemori was assigned to Criminal Investigation Department. Teppei Sugo, an accomplished pilot of the Defense Army, joins the military operation in Okinawa. ...",7.2,277,1,2
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni,"Animation, Action, Crime",68,Japan,Japanese,Naoyoshi Shiotani,Production I.G.,"Following the incident in the Southeast Asia Union in 2116, Shinya Kogami resumes his vagrant journey. In a small South Asian nation, Kogami rescues a bus of refugees under attack by armed ...",7.3,269,2,2
The Will,Romance,105,USA,English,Louise Alston,,"Early in her life, Josephine Malone learned the hard way that there was only one person she could love and trust: her grandmother, Lydia Malone. Out of necessity, unconsciously and very ...",6.1,352,14,1
Realna prica,Comedy,91,Serbia,Serbian,Gordan Kicic,This and That Productions,"The movie Real Story takes us through the saga of the actor, Veljko Radisavljevic, who has the impression that the entire universe has conspired against him. He is a walking problem and ...",7.2,831,5,2
Adventure Force 5,"Action, Adventure, Family",82,USA,"English, Arabic, Spanish",Michael Younesi,Concrete Media,"When their quiet beach town is invaded by a mysterious threat, five kids - a gamer, comic book geek, inventor, skater and martial artist - must band together and use an arsenal of homemade gadgets to fight back.",5.3,153,9,3
The Alpha Test,Sci-Fi,87,USA,English,Aaron Mirtes,,A robot servant is pushed to the brink of disaster and murder at the hands of a vicious and abusive owner.,3.3,257,22,9
Shou yi ren,Drama,116,China,Chinese,Ao Shen,,A struggling father agrees to run a scam in which he convinces a camgirl to marry him.,6.4,197,4,2
Sune - Best Man,Family,88,Sweden,Swedish,Jon Holmberg,Unlimited Stories,Sune's class is going on a secret school trip. Sune and Sophie are really looking forward to spending time together when Sune suddenly realizes that Grandpa Helmer's wedding is the same ...,5.9,163,,1
Il ladro di giorni,Drama,105,Italy,Italian,Guido Lombardi,Apulia Film Commission,"A father, just out of prison, wants to spend some time with his eleven-year-old son.",5.6,127,,6
My Hero Academia - Boku no hîrô akademia THE MOVIE - Heroes: Rising - Hîrôzu: Raijingu,"Animation, Action, Adventure",104,Japan,Japanese,Kenji Nagasaki,Bones,"A group of youths aspiring to become professional superheroes, fight in a world full of people with abilities, also known as quirks. Deku and his fellow classmates from Hero Academy face Nine, the strongest villain yet.",8,2315,47,28
Þorsti,"Comedy, Horror",90,Iceland,Icelandic,"Steinþór Hróar Steinþórsson, Gaukur Úlfarsson",Fenrir Films,"The drug addict Hulda is arrested accused of murdering her brother. After she is let go because of insufficient evidence, she meets Hjörtur, a thousand-year-old gay vampire. Together they ...",6.8,186,10,
Ardab Mutiyaran,Drama,138,India,Punjabi,Manav Shah,White Hill Studios,"Babbu Bains, a finance recovery agent, doesn't let anyone tell her what to do. She is independent and knows how to get things done her way, but then she gets married. Part of a new family now, can Babbu take a stand for herself?",7.2,308,13,
Choke,"Horror, Thriller",73,USA,,Gregory Hatanaka,CineRidge Entertainment,"The lines between reality and fiction, and good and bad blur when both a nihilistic detective and a serial killer's affairs with a mysterious girl overlap.",5.7,2179,30,21
Heartbeat,Thriller,73,USA,,Gregory Hatanaka,CineRidge Entertainment,A reporter finds her life in danger when the story she has published results in several murders that come closer to her.,7.3,939,8,15
Milea: Suara dari Dilan,"Drama, Romance",102,Indonesia,Indonesian,"Pidi Baiq, Fajar Bustomi",Falcon Pictures,Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.,6.1,238,4,7
Teräsleidit,"Drama, Comedy",92,Finland,Finnish,Pamela Tola,Helsinki-Filmi,"Inkeri, 75, has hit her husband, Tapio, on the head with a frying pan and is planning to bury him in their garden after being belittled by him for almost 50 years. Suddenly, Inkeri realizes...",6.6,155,,
Chhappad Phaad Ke,Drama,90,India,Hindi,Sameer Joshi,Saregama India,"Chappad Phaad Ke is a satirical look at the consumerism and hypocrisy that engulfs us in our daily lives, set in the background of a typical middle class Maharashtrian family. The Gupchup ...",6.3,732,293,1
High & Low: The Worst,Action,125,,,Shigeaki Kubo,,"Demon High School is divide into a part-time system and a full-time system, Yoshiki Murayama is the head of the Demon high school and Kaede Hanaoka has an ambition to take on the full-time world in order to challenge Murayama one day.",6.2,148,4,1
Naan Sirithaal,"Comedy, Drama",139,India,Tamil,Raana,Avni Movies,"Gandhi is an IT guy who suffers from Pseudobulbar, and he uncontrollably laughs during stressful moments. He is taken to a Shiva temple and tied with a holy ornament, which is very strong, but it would bring a threat to him if separated.",5.3,425,10,3
Oh My Kadavule,Comedy,151,India,Tamil,Ashwath Marimuthu,Axess Film Factory,When you think marrying your best friend means a 'happily ever-after' but it turns out to be just the reverse,8.1,2112,61,4
Popcorn Monkey Tiger,"Action, Crime",134,India,Kannada,Soori,Studio 18,Seena and Devika experience crime in different phases of life by meeting different people who may make them realize human values and emotions or not.,8.2,187,5,1
All of Us,Drama,112,Belgium,Dutch,Willem Wallyn,,"The story of a self-help group of 4 people with a terminal illness, led by a therapist without experience.",7.4,328,1,1
Katsuben!,Drama,126,Japan,Japanese,Masayuki Suo,,"Set in early 20th Century Japan, the movie follows the adventures of a young man who wants to get into the movie business -- but in a job unique to his country: a dramatic narrator for ...",7,119,1,1
Goblin Slayer: Goblin's Crown,"Animation, Action, Adventure",85,Japan,Japanese,Takaharu Ozaki,White Fox,"In a world dominated by monsters, a young priestess decides to train as an adventurer to deal with the threat. She joins a group of inexperienced fighters who have set out to drive the goblins away.",6.8,279,3,
Dead Kids,Thriller,98,"Philippines, USA","Filipino, Tagalog",Mikhail Red,Netflix,A socially awkward teen bonds with a group of misfits who plot to abduct the schools arrogant rich kid until their kidnapping scheme turns deadly.,5.6,360,18,13
Valayam,Mystery,140,India,Telugu,Ramesh Kadumula,Sri Tirumala Tirupathi Venkateswara Films,"When his wife goes missing, Arvind must solve the mystery of her disappearance before time runs out and he becomes the prime suspect.",6.2,104,2,1
La Fiesta Silenciosa,Thriller,87,"Argentina, Brazil",Spanish,"Diego Fried, Federico Finkielstain",Aramos Cine,"The day before their wedding party, a couple arrives at the country house to finalize the preparations for the celebration.",5.7,150,2,3
Beyond the Law,"Action, Crime",89,USA,English,James Cullen Bressack,BondIt Media Capital,A former mobster turned businessman and a police detective must contend with a dirty ex-cop looking to bring the killer of his son to justice.,4.3,830,34,13
Jhalle,Comedy,129,India,Punjabi,Amarjit Singh Saron,Binnu Dhillon Production,"The family wants Jhalle to find a husband. They think this will be difficult because she's so crazy, but really the crazy ones are them.",5.9,112,10,
House Arrest,Comedy,104,India,Hindi,"Samit Basu, Shashanka Ghosh",India Stories,Karan may want to shut the door on the world but the world won't stop ringing his doorbell. Who will he let in?,5.5,1288,41,6
The Moving on Phase,Comedy,85,USA,English,Don Tjernagel,,Piper is a young adult female that is forced into a life change after long time boyfriend breaks it off and evicts her from their home.,9.5,172,,
Guadalupe Reyes,Comedy,91,Mexico,Spanish,Salvador Espinosa,Filmadora Nacional,"After ten years, two friends meet again and decide to start the ""Guadalupe Reyes"", where they live all kinds of adventures and experiences that will test their friendship.",5.9,335,2,
Stanley Stanton,Drama,62,USA,English,Mars McCracken,,"Forced to watch flashbacks of his life, a pious man comes to the realization he's dead and on his way to hell. Inspired by a true event.",8.7,904,2,
Türkler Geliyor: Adaletin Kilici,"Action, Drama, History",125,Turkey,Turkish,Kamil Aydin,Bozdag Film,"The period after the Sultan Mehmed II (the Conqueror) conquered Constantinople, moving towards Europe in the fifteenth century , and Sultan Mehmed's determination to spread Islam in Europe by the superb morals of Muslims then.",4.1,566,11,1
Polvo,"Comedy, Crime",88,Mexico,Spanish,José María Yazpik,Tintorera Producciones,"After a ten year absence, ""El Chato"" returns to San Ignacio, his hometown, in order to retrieve a shipment of cocaine that was dropped there by a cartel pilot.",6.9,251,4,2
Jiong ma,"Adventure, Comedy, Drama",126,China,Chinese,Zheng Xu,Mokexing Film,"As Ivan plans to go to America for work purposes, his plans are foiled when he decides to follow his mother on a train to Moscow.",5.7,585,4,2
Sufna,Romance,144,India,Punjabi,Jagdeep Sidhu,Panj Paani Films,"Jeet is a free-spirited youth in the village, he doesn't care or has not any goal in the life. But his life changes, when he meets Teg, a beautiful young girl from another village.",8.2,1088,84,
Ring Mamma!,Comedy,101,Sweden,Swedish,Lisa Aschan,Garagefilm International,Niki has just turned 35 and has to suddenly grasp all the life choices and relationships that she dug for.,5.8,166,,2
Paydirt,"Crime, Thriller",81,USA,,Christian Sesma,Octane Entertainment,"A parolee teams up with his old crew determined to find a buried bag of cash stolen five years ago from a DEA bust gone bad, while being tracked by a retired Sheriff.",3.9,239,8,16
Shinui Han Soo: Gwisoopyeon,Action,106,South Korea,Korean,Khan Lee,Azim Film,"In the 1990s, when Go gambling fever swept Korea, Gui-su loses everything because his father gambled obsessively until there was nothing left. Left all alone in the world, Gui-su meets a ...",6.3,190,2,2
Baghdad Thief,"Action, Adventure, Comedy",102,Egypt,Arabic,Ahmed Khaled,,The search for a lost treasure will involve each of the heroes of this film through an atmosphere of suspense and excitement.,4.6,359,16,
George Reddy,Action,153,India,Telugu,B. Jeevan Reddy,Silly Monks Studios,"George Reddy is a biopic based on the life of a student leader, boxer and Gold medalist, who influenced the politics of Andhra Pradesh state in Osmania University between 1967 and 1972. He ...",7.2,515,21,1
Dew,"Drama, Romance",123,Thailand,Thai,Chookiat Sakveerakul,CJ Major Entertainment,Dew is about 2 friends who developed feelings for each other. But they lived in a time when homosexuality wasn't accepted.,6.8,267,8,1
Primal: Tales of Savagery,"Animation, Action, Adventure",85,USA,"English, None",Genndy Tartakovsky,Cartoon Network Studios,"GENNDY TARTAKOVSKY'S PRIMAL - TALES OF SAVAGERY features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",8.4,664,7,2
Suriname,Crime,100,Netherlands,Dutch,Danny Leysner,Studio Vizaviz,"When Winston Righter decides eligible to stand for the presidency in Suriname, he is confronted with his criminal past. A chess breaks loose as he competes with justice and the underworld.",5,168,10,1
Wira,Action,109,Malaysia,Malay,Adrian Teh,Multimedia Entertainment,"After leaving the military, Hassan returns home to help his brother settle a debt, to do so they must team up to fight the organiser's sons.",6.3,236,4,12
Bheeshma,"Action, Comedy, Romance",150,India,Telugu,Venky Kudumula,Sithara Entertainments,"The film revolves around Bheeshma, a man making his living as a meme creator, who wants to remain single forever. But will he be able to?",6.6,1594,40,6
The Haunting of Alcatraz,Horror,86,UK,English,Steve Lawson,Creativ Studios,Alcatraz. 1937. A young prison guard working the night shift experiences a string of chilling disturbances culminating in the bizarre death of an inmate at the most famous prison in the world,2.5,111,13,3
Apostratos,"Comedy, Drama",100,Greece,Greek,Zacharias Mavroeidis,ERT SA,"A 30-something failed businessman moves into his grandpa's house, the defunct WW2 veteran. His quest to live up to his legacy, will redefine both the family hero and himself.",6.9,231,,5
Ghawre Bairey Aaj,Drama,146,India,Bengali,Aparna Sen,SVF Entertainment,"Ghawre Bairey Aaj is inspired by Rabindranath Tagore's novel 'Ghawre Bairey' (Home and the World) and is a contemporary retelling of love triangle involving Tagore's characters Nikhilesh, Sandip and Bimala.",6.4,231,13,1
Lejos de Casa pelicula Venezolana,"Drama, History",87,Venezuela,Spanish,Abner Official,,"Samuel, a young Venezuelan, emigrates from his country in search of a better life and to help his family, without knowing the difficult situations that he will face as an immigrant.",9.8,133,,
Wu sha,"Crime, Drama, Thriller",112,China,"Mandarin, Thai",Sam Quah,,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",6.8,630,12,16
Lockup,Drama,106,India,Tamil,S.G. Charles,Shvedh Productions,"Lock Up follows the lives of sub-inspector Moorthy and constable Vasanth . There is also Ilavarasi , a hard-nosed police inspector who is put in charge of the station the two men work at after the previous inspector, Sampath, is murdered.",6.5,175,11,3
"Koncentrisi se, baba","Comedy, Drama",92,"Bosnia and Herzegovina, Turkey",Bosnian,Pjer Zalica,Obala Art Centar,"April 1992. Members of a large family strewn around the former Yugoslavia gather around the death bed of their elderly matriarch. She is not well, but the forecast of a family doctor that ...",7.7,111,1,6
Capmaari,"Comedy, Drama, Romance",133,India,Tamil,S.A. Chandrashekhar,Green Signal,Vijay (Jai) an IT professional happens to share an coach with Jenny (Vaibhavi Shandilya) and the duo strike a conversation and soon are sharing beers and the bed too. After two years they ...,3.3,102,,1
Les Misérables: The Staged Concert,"Drama, History, Musical",145,,,"Nick Morris, James Powell",Cameron Mackintosh Ltd.,Seen by over 120 million people worldwide one of the world's most popular musicals. Now cinema audiences can experience a live broadcast of the musical phenomenon which broke box office records and sold out its entire 16-week season.,8.5,204,4,
